Дом, в котором живет праздник;"Есть такая профессия – дарить людям тепло, любовь и радость. Это - о работниках культуры. Без их участия трудно представить календарные, профессиональные, городские, сельские, детские, семейные и многие другие праздники.
В 1958 году в Рославле открылся городской Дом культуры. Очень быстро ГДК стал центром культурной и общественной жизни города.
За более чем полувековую историю Дома культуры сменилось немало руководителей:
В.С. Пыченков, Л. А. Кудрявцев, Л.И. Черткова, А.А. Данилова, И.А. Таросян. Каждый из них внес свой вклад в культуру города. В 2016 году дружный творческий коллектив Дома культуры возглавил Сергей Егорович Гришков.
Всегда в ГДК кипела активная жизнь в кружках, студиях и клубах. И сегодня здесь много разнообразных творческих коллективов для взрослых, детей и юношества. Проводятся городские праздники и массовые мероприятия, концерты и спектакли. Попадая сюда, понимаешь - здесь живет счастье, где всем возрастам и национальностям комфортно друг с другом, где все чувствуют себя равными, независимо от социального статуса.
ГДК. Фото нач. 60-х  гг.Для всех любителей вокального творчества и фольклора в Доме культуры работают творческие объединения на любой вкус. Вокальные ансамбли «Созвучие» и «Веселые девчата» под руководством Е.А. Елисеевой являются украшением всех концертов и праздничных программ в городе. Ансамбль русской казачьей песни исполняет не только народные песни, но и песни, которые написал руководитель коллектива А.М. Левкин.
Настоящая жемчужина фольклора – ансамбль «Ростислав» под руководством талантливого человека, истинного патриота русской песни О.В. Скачковой. Коллектив бережно хранит и приумножает богатство фольклорной культуры Смоленского края. Недавно был создан инструментальный коллектив «КАРОна», руководит которым С.Е. Гришков.
Блистательные танцевальные коллективы не раз покоряли не только жителей города, но и жюри на различных конкурсах и фестивалях. В хореографическом коллективе «Фрагмент» под руководством А.Н. Сергеевой можно научиться танцевать не только народные и современные танцы, но и встать на пуанты. А в студии восточного танца «Созвездие», которой руководит М.Г. Косарева, занимаются не только девочки, но и их мамы и даже бабушки. Яркий и задорный коллектив «Бусинки» Н.В. Тимофеевой давно стал любимцем зрителей и часто радует выступлениями на городских праздниках.
Особый предмет гордости Дома культуры – четыре народных коллектива. Ни одно мероприятие городского масштаба не проходит без их участия. Не только старшее поколение любит и знает народные самодеятельные коллективы - оркестр русских народных инструментов и эстрадный ансамбль «Ретро», которым руководит заслуженный работник культуры, талантливый музыкант, автор и исполнитель М.И. Ульяшов. 
Многие юные музыканты связали свою жизнь с музыкой. И все это благодаря В.О. Краусу - прекрасному, терпеливому педагогу, руководителю народного духового оркестра. Владимир Оттович находит время не только для народного коллектива, но и руководит ансамблем духовых инструментов «Кантабиле», в котором с большим удовольствием занимаются дети разного возраста. В этом году духовой оркестр стал лучшим творческим самодеятельным коллективом Смоленщины.
Большую популярность приобретают народный театр «Лица» и детская театральная студия «Зеркало». Коллектив театра радует маленьких и взрослых рославльчан волшебными сказками и интересными спектаклями. Руководит театром режиссёр Е.В. Токарева, которая стала в этом году лучшим работником культуры Смоленщины. 
Дому культуры – 60 лет! За спиной взлеты, победы и творческие достижения, впереди – новые горизонты и покорение новых вершин творчества, сохранение и укрепление традиций, заложенных предыдущими поколениями. Сегодня коллектив пополняется молодыми специалистами, выросшими в стенах Дома культуры. Это творческие, талантливые и незаурядные люди, преданные своему делу и отдающие ему все свои силы и умение. Они ищут и воплощают в жизнь новые идеи для того, чтобы одни имели возможность творить, а зрители — наслаждаться их творчеством.
 ";http://ropravda.ru/index.php/kultura/3128-dom-v-kotorom-zhivet-prazdnik
"""Директор школы - 2018""";"Директор Хорошовской средней школы Эдуард Владимирович Николаев в очередной раз стал дипломантом Всероссийского конкурса «Директор школы – 2018», организованного Министерством образования и науки Российской Федерации совместно с обществом с ограниченной ответственностью «Издательская фирма «Сентябрь».
Конкурс стартовал 29 марта 2018 года и проходил в два тура: первый (заочный) тур - описание решения актуальных управленческих проблем по теме конкурса; второй (очный) тур - предъявление управленческого опыта (презентация индивидуального подхода к управленческой деятельности и конкурсные испытания).
Для участия в конкурсе подали заявки 332 представителя самых разных регионов России, из них 327 директоров были допущены к профессиональным испытаниям. По итогам второго тура экспертное жюри отобрало 80 лучших руководителей школ, среди которых были определены 30 финалистов – участников очного тура и 50 дипломантов конкурса, которым присвоено звание Дипломант Всероссийского конкурса «Директор школы – 2018». 
Поздравляем директора и педагогический коллектив МБОУ «Хорошовская средняя школа»!
Источник ""Рославльская правда"": ""Директор школы - 2018"" ";http://ropravda.ru/index.php/obrazovanie/3121-direktor-shkoly-2018
Королева цветочного царства;"Королевой цветочного царства так называют эту женщину близкие друзья и просто знакомые, увидев ее необыкновенную коллекцию цветов в интернете.
У Татьяны Васильевны Климовой самая обычная биография – учеба, работа, семья. С шести лет живет она в Рославле, окончила школу №2, автомеханический техникум при РААЗ, там же на заводе и работала. Позже преподавала в бывшем лицее №7.
Но помимо основной работы в жизни Татьяны Васильевны всегда находилось время для любимого занятия. А любила она мастерить мягкие игрушки. Училась этому и дома, и в школе на кружок ходила. Такую красоту создавала – глаз не отвести. В начале двухтысячных стала она индивидуальным предпринимателем – торговала именно мягкой игрушкой. За товаром ездила в Белоруссию, там же, помимо прочего, покупала и мех для своих игрушек. И такие они у нее получались яркие, красивые, качественные, абсолютно ни в чем не уступающие фабричным.
Однако так сложились жизненные обстоятельства, что пришлось мастерице отказаться от этого занятия. Может, навсегда, может, временно - кто знает… Но творческий человек не может жить без творчества. Вот и у Татьяны Васильевны появилось новое увлечение – цветы. Любила она их всегда, правда, о коллекционировании как-то и не задумывалась.
Началось все с того, что купила она однажды цветок ахименес. Для тех, кто не увлечен цветоводством, это название мало о чем говорит. Но именно ахименес стал началом коллекции, которая, пожалуй, самая большая сегодня в области – более 500 сортов!
- Да, все началось с одного цветка, - рассказывает Татьяна Васильевна. – А потом я узнала, что у него очень много разновидностей, и стала их собирать. И в Рославле искала, и в Смоленске, заказывала у московских коллекционеров. Сейчас заказываю и в Румынии, получаю семена от знаменитого селекционера Serge Saliba. 
Сегодня у меня из этого семейства геснериевых много других представителей – ахименанты, смитианты, эукадонии, смитикадония, сиемания, глоксимания, синнингии, глоксинии, фиалки. А еще развожу бегонию цветущую.
Мне сложно было сразу даже написать эти названия, а Татьяна Васильевна произносила их без запинки, как говорят, на одном дыхании. Улыбалась, видя мое замешательство: «Коллекционерам они хорошо знакомы».
А потом хозяйка показала мне теплицы. В таких обычно выращивают помидоры, огурцы. У нее же здесь все лето цветут цветы. Настоящая оранжерея. Причем не одна, а целых три. Сейчас, конечно, осень, и теплицы пустуют. Вся цветочная красота осталась на фотографиях. Не запечатлеть все это просто невозможно.
Растения отцвели, но хлопот у хозяйки меньше не стало. «С ранней весны до глубокой осени ухаживаю за своей цветущей красотой. Сейчас у цветов наступил период покоя. Но за время вегетации и цветения каждое растение образует так называемые резомы (чешуйчатые корневища, похожие на ольховую шишку). Все это нужно собрать. Храню до весны в доме».
Да, объем работ действительно впечатляет. В одной из теплиц еще не все цветы убраны. Это доцветают хризантемы. Их у Татьяны Васильевны около 100 сортов! Каждый цветок имеет свое сортовое название. Для меня некоторые похожи друг на друга. Но нет, они разных сортов и называются по-разному.
Цветы дают большую возможность общения. У Татьяны Васильевны своя страница в соцсетях, и она много общается и с цветоводами-любителями, и с цветоводами-коллекционерами не только по всей России, но и за рубежом. Обмениваются и советами, и цветами.
- Да, я с удовольствием и меняюсь, и дарю, и продаю. У меня, конечно, много цветов, но стоит увидеть новый сорт – сразу хочется приобрести.
Бесспорно, содержание такой коллекции цветов – работа кропотливая, круглогодичная. Но, как говорят, цель оправдывает средства. Цветущие оранжереи радуют глаз и лечат душу. Невозможно остаться равнодушным, глядя на это бушующее царство цветов. Даже если это просто фотография.
Пройдет зима, и снова наполнятся теплицы цветами разнообразных форм и оттенков. Красота – она ведь вечна…
Источник ""Рославльская правда"": Королева цветочного царства vКоролевой цветочного царства так называют эту женщину близкие друзья и просто знакомые, увидев ее необыкновенную коллекцию цветов в интернете.
У Татьяны Васильевны Климовой самая обычная биография – учеба, работа, семья. С шести лет живет она в Рославле, окончила школу №2, автомеханический техникум при РААЗ, там же на заводе и работала. Позже преподавала в бывшем лицее №7.
Но помимо основной работы в жизни Татьяны Васильевны всегда находилось время для любимого занятия. А любила она мастерить мягкие игрушки. Училась этому и дома, и в школе на кружок ходила. Такую красоту создавала – глаз не отвести. В начале двухтысячных стала она индивидуальным предпринимателем – торговала именно мягкой игрушкой. За товаром ездила в Белоруссию, там же, помимо прочего, покупала и мех для своих игрушек. И такие они у нее получались яркие, красивые, качественные, абсолютно ни в чем не уступающие фабричным.
Однако так сложились жизненные обстоятельства, что пришлось мастерице отказаться от этого занятия. Может, навсегда, может, временно - кто знает… Но творческий человек не может жить без творчества. Вот и у Татьяны Васильевны появилось новое увлечение – цветы. Любила она их всегда, правда, о коллекционировании как-то и не задумывалась.
Началось все с того, что купила она однажды цветок ахименес. Для тех, кто не увлечен цветоводством, это название мало о чем говорит. Но именно ахименес стал началом коллекции, которая, пожалуй, самая большая сегодня в области – более 500 сортов!
- Да, все началось с одного цветка, - рассказывает Татьяна Васильевна. – А потом я узнала, что у него очень много разновидностей, и стала их собирать. И в Рославле искала, и в Смоленске, заказывала у московских коллекционеров. Сейчас заказываю и в Румынии, получаю семена от знаменитого селекционера Serge Saliba. 
Сегодня у меня из этого семейства геснериевых много других представителей – ахименанты, смитианты, эукадонии, смитикадония, сиемания, глоксимания, синнингии, глоксинии, фиалки. А еще развожу бегонию цветущую.
Мне сложно было сразу даже написать эти названия, а Татьяна Васильевна произносила их без запинки, как говорят, на одном дыхании. Улыбалась, видя мое замешательство: «Коллекционерам они хорошо знакомы».
А потом хозяйка показала мне теплицы. В таких обычно выращивают помидоры, огурцы. У нее же здесь все лето цветут цветы. Настоящая оранжерея. Причем не одна, а целых три. Сейчас, конечно, осень, и теплицы пустуют. Вся цветочная красота осталась на фотографиях. Не запечатлеть все это просто невозможно.
Растения отцвели, но хлопот у хозяйки меньше не стало. «С ранней весны до глубокой осени ухаживаю за своей цветущей красотой. Сейчас у цветов наступил период покоя. Но за время вегетации и цветения каждое растение образует так называемые резомы (чешуйчатые корневища, похожие на ольховую шишку). Все это нужно собрать. Храню до весны в доме».
Да, объем работ действительно впечатляет. В одной из теплиц еще не все цветы убраны. Это доцветают хризантемы. Их у Татьяны Васильевны около 100 сортов! Каждый цветок имеет свое сортовое название. Для меня некоторые похожи друг на друга. Но нет, они разных сортов и называются по-разному.
Цветы дают большую возможность общения. У Татьяны Васильевны своя страница в соцсетях, и она много общается и с цветоводами-любителями, и с цветоводами-коллекционерами не только по всей России, но и за рубежом. Обмениваются и советами, и цветами.
- Да, я с удовольствием и меняюсь, и дарю, и продаю. У меня, конечно, много цветов, но стоит увидеть новый сорт – сразу хочется приобрести.
Бесспорно, содержание такой коллекции цветов – работа кропотливая, круглогодичная. Но, как говорят, цель оправдывает средства. Цветущие оранжереи радуют глаз и лечат душу. Невозможно остаться равнодушным, глядя на это бушующее царство цветов. Даже если это просто фотография.
Пройдет зима, и снова наполнятся теплицы цветами разнообразных форм и оттенков. Красота – она ведь вечна…
Источник ""Рославльская правда"": Королева цветочного царства vvvvvvvvvvКоролевой цветочного царства так называют эту женщину близкие друзья и просто знакомые, увидев ее необыкновенную коллекцию цветов в интернете.
У Татьяны Васильевны Климовой самая обычная биография – учеба, работа, семья. С шести лет живет она в Рославле, окончила школу №2, автомеханический техникум при РААЗ, там же на заводе и работала. Позже преподавала в бывшем лицее №7.
Но помимо основной работы в жизни Татьяны Васильевны всегда находилось время для любимого занятия. А любила она мастерить мягкие игрушки. Училась этому и дома, и в школе на кружок ходила. Такую красоту создавала – глаз не отвести. В начале двухтысячных стала она индивидуальным предпринимателем – торговала именно мягкой игрушкой. За товаром ездила в Белоруссию, там же, помимо прочего, покупала и мех для своих игрушек. И такие они у нее получались яркие, красивые, качественные, абсолютно ни в чем не уступающие фабричным.
